name,merchantname,discountedprice,originalprice,rating,numberofreviews,freeshipping,description
"Lucky Scoop Press On Nails: 6 Sets, Custom Styles",TwinkleStarNails,$57.68,$144.19,4.9,(9.7k),,Custom styles press on nails
Burgundy Flower Press on nails long almond nails/Blooming burgundy Nails/3D Flower Nails/Red Nails/Holiday Nails/crocodile pattern nails,MissSiriwilaiSaenkh,$9.80,,5.0,(2),,Burgundy flower press on nails
"Pink Themed Nail Art, Cute Acrylic Nails with Leopard Print and Bows, Spring Nail Design, Kawaii Nail Set, Handmade Nail Art",TrinketsForLife,$16.99,$28.32,4.9,(51),,Pink themed nail art
"3D Flower Press On Nails: Pink Ombre Almond, Handmade",Nailbymint,$10.50,$30.00,4.9,(388),,3D flower press on nails
Mystery Nail Box (3 Sets) – Handmade Press On Nails | Reusable with Tool Kit,LifeClassicsShop,$14.39,$17.99,4.9,(71),Free shipping,Mystery nail box
Long Stiletto 3D Floral Press On Nails | Wine Red Ombre Glass Effect False Nails | Hand-Painted Y2K Reusable Nail Art Set,hananailshop,$10.00,$33.33,5.0,(355),,Long stiletto 3D floral press on nails
Summer Cat Eye Green Press on nails short almond nails/Glitter Nails/Sparkle Nails/Butterfly Nails/Star Nails/moon nails/3D Gold Chrome nail,Designswithday,$16.90,,4.9,(356),,Summer cat eye green press on nails
"Bold Y2K Press On Nails, 8 Ball Cherry Nails, Handmade Press On Nails with NYC Graffiti, Y2K Cherry Leopard Print nails, Y2k nails",KhahanCreations,$23.80,$47.60,4.8,(89),,Bold Y2K press on nails
kirby y2k nails/ sanrio Nails /custom press on nails/ hand made Press on Nails/Faux Acrylic Nails/ Gel Nails/Press on Nails,MythicalNailart,$19.21,$32.01,4.8,(2.4k),,Kirby Y2K nails
"Press On Nails Ladybug with Bee | 3D Floral Fake Nails in Long Almond Shape | Handmade Spring Nail Art for Holiday, Vacation, Birthday, Gift",LilyNailsArt,$41.74,$64.21,4.9,(11.9k),,Press on nails ladybug with bee
Long-Lasting UV Gel Glue for Press-On Nails/Cures with UV Light for up to 4 Weeks Wear/DIY Nail Art Supply/Strong Hold，Damage Free，Reusable,SheDaresNails,$11.50,$23.00,4.8,(402),,Long-lasting UV gel glue
Halloween Nail Polish Wraps DIY Manicure Stickers Twilight Moon Nail Decal Strips,DesignOnTheGoShop,$9.72,$14.95,4.9,(19),Free shipping,Halloween nail polish wraps
Nail Polish Set,Etsy Shop,$10.99,$14.99,4.5/5,123,true,A set of 6 nail polishes in different colors
Nail Art Kit,Etsy Shop,$12.99,$19.99,4.2/5,90,true,A kit for creating nail art designs
Nail Care Set,Etsy Shop,$9.99,$14.99,4.8/5,150,true,A set of nail care products for healthy nails
Nail Polish Set,Etsy Shop,$10.99,$14.99,4.5/5,123,true,A set of 6 nail polishes in different colors
Nail Art Kit,Etsy Shop,$12.99,$19.99,4.2/5,90,true,A kit for creating nail art designs
Nail Care Set,Etsy Shop,$9.99,$14.99,4.8/5,150,true,A set of nail care products for healthy nails
